tf	condition	rep	controlName	strand
AR	dht	rep1	GSE83860.rep1	+
AR	dht	rep1	GSE83860.rep1	-
AR	dmso	rep1	GSE83860.rep2	+
AR	dmso	rep1	GSE83860.rep2	-
AR	dht	rep2	GSE83860.rep1	+
AR	dht	rep2	GSE83860.rep1	-
AR	dmso	rep2	GSE83860.rep2	+
AR	dmso	rep2	GSE83860.rep2	-
FOXA1	dht	rep1	GSE83860.rep1	+
FOXA1	dht	rep1	GSE83860.rep1	-
FOXA1	dmso	rep1	GSE83860.rep2	+
FOXA1	dmso	rep1	GSE83860.rep2	-
FOXA1	dht	rep2	GSE83860.rep1	+
FOXA1	dht	rep2	GSE83860.rep1	-
FOXA1	dmso	rep2	GSE83860.rep2	+
FOXA1	dmso	rep2	GSE83860.rep2	-
HOXB13	dht	rep1	GSE117304.dht	+
HOXB13	dht	rep1	GSE117304.dht	-
HOXB13	dmso	rep1	GSE117304.dmso	+
HOXB13	dmso	rep1	GSE117304.dmso	-
