tf	treatment	duration	rep	sampleName
GR	dex	0h	rep1	GR.0h.dex.rep1
GR	dex	0h	rep2	GR.0h.dex.rep2
GR	dex	0h	rep3	GR.0h.dex.rep3
GR	dex	0h	rep4	GR.0h.dex.rep4
GR	dex	0h	rep5	GR.0h.dex.rep5
GR	dex	1h	rep1	GR.1h.dex.rep1
GR	dex	1h	rep2	GR.1h.dex.rep2
GR	dex	1h	rep3	GR.1h.dex.rep3
GR	dex	1h	rep4	GR.1h.dex.rep4
GR	dex	1h	rep5	GR.1h.dex.rep5
GR	dex	4h	rep1	GR.4h.dex.rep1
GR	dex	8h	rep1	GR.8h.dex.rep1
GR	dex	12h	rep1	GR.12h.dex.rep1
GR	dex	input	pool1	input.GSE114063.pool1
GR	dex	input	pool2	input.GSE114063.pool2
GR	dex	input	pool3	input.GSE114063.pool3
GR	dex	input	pool4	input.GSE114063.pool4
GR	dex	input	pool5	input.GSE114063.pool5
GR	dex	input	pool6	input.GSE114063.pool6
GR	dex	input	pool7	input.GSE114063.pool7
GR	dex	input	pool8	input.GSE114063.pool8
GR	dex	input	pool9	input.GSE114063.pool9
GR	dex	input	pool10	input.GSE114063.pool10
GR	dex	input	pool11	input.GSE114063.pool11
GR	dex	input	pool12	input.GSE114063.pool12
GR	dex	4h	rep2	GR.4h.dex.rep2
GR	dex	4h	rep3	GR.4h.dex.rep3
GR	dex	4h	rep4	GR.4h.dex.rep4
GR	dex	4h	rep5	GR.4h.dex.rep5
GR	dex	8h	rep2	GR.8h.dex.rep2
GR	dex	8h	rep3	GR.8h.dex.rep3
GR	dex	8h	rep4	GR.8h.dex.rep4
GR	dex	8h	rep5	GR.8h.dex.rep5
GR	dex	12h	rep2	GR.12h.dex.rep2
GR	dex	12h	rep3	GR.12h.dex.rep3
GR	dex	12h	rep4	GR.12h.dex.rep4
GR	dex	12h	rep5	GR.12h.dex.rep5
