Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ControlSRX	ControlName	Raw	Library	Concat
A549	Control	-	-	1	1	R1	SRR7122192	SRX4043741	GSE114063	GSE114063.1	Paired	GSE114063.1.control.R1
A549	Control	-	-	1	1	R2	SRR7122192	SRX4043741	GSE114063	GSE114063.1	Paired	GSE114063.1.control.R2
A549	Control	-	-	2	1	R1	SRR7122193	SRX4043742	GSE114063	GSE114063.2	Paired	GSE114063.2.control.R1
A549	Control	-	-	2	1	R2	SRR7122193	SRX4043742	GSE114063	GSE114063.2	Paired	GSE114063.2.control.R2
A549	Control	-	-	3	1	R1	SRR7122194	SRX4043743	GSE114063	GSE114063.3	Paired	GSE114063.3.control.R1
A549	Control	-	-	3	1	R2	SRR7122194	SRX4043743	GSE114063	GSE114063.3	Paired	GSE114063.3.control.R2
A549	Control	-	-	4	1	R1	SRR7122195	SRX4043744	GSE114063	GSE114063.4	Paired	GSE114063.4.control.R1
A549	Control	-	-	4	1	R2	SRR7122195	SRX4043744	GSE114063	GSE114063.4	Paired	GSE114063.4.control.R2
A549	Control	-	-	5	1	R1	SRR7122196	SRX4043745	GSE114063	GSE114063.5	Paired	GSE114063.5.control.R1
A549	Control	-	-	5	1	R2	SRR7122196	SRX4043745	GSE114063	GSE114063.5	Paired	GSE114063.5.control.R2
A549	Control	-	-	6	1	R1	SRR7122197	SRX4043746	GSE114063	GSE114063.6	Paired	GSE114063.6.control.R1
A549	Control	-	-	6	1	R2	SRR7122197	SRX4043746	GSE114063	GSE114063.6	Paired	GSE114063.6.control.R2
A549	Control	-	-	7	1	R1	SRR7122198	SRX4043747	GSE114063	GSE114063.7	Paired	GSE114063.7.control.R1
A549	Control	-	-	7	1	R2	SRR7122198	SRX4043747	GSE114063	GSE114063.7	Paired	GSE114063.7.control.R2
A549	Control	-	-	8	1	R1	SRR7122199	SRX4043748	GSE114063	GSE114063.8	Paired	GSE114063.8.control.R1
A549	Control	-	-	8	1	R2	SRR7122199	SRX4043748	GSE114063	GSE114063.8	Paired	GSE114063.8.control.R2
A549	Control	-	-	9	1	R1	SRR7122200	SRX4043749	GSE114063	GSE114063.9	Paired	GSE114063.9.control.R1
A549	Control	-	-	9	1	R2	SRR7122200	SRX4043749	GSE114063	GSE114063.9	Paired	GSE114063.9.control.R2
A549	Control	-	-	10	1	R1	SRR7122201	SRX4043750	GSE114063	GSE114063.10	Paired	GSE114063.10.control.R1
A549	Control	-	-	10	1	R2	SRR7122201	SRX4043750	GSE114063	GSE114063.10	Paired	GSE114063.10.control.R2
A549	Control	-	-	11	1	R1	SRR7122202	SRX4043751	GSE114063	GSE114063.11	Paired	GSE114063.11.control.R1
A549	Control	-	-	11	1	R2	SRR7122202	SRX4043751	GSE114063	GSE114063.11	Paired	GSE114063.11.control.R2
A549	Control	-	-	12	1	R1	SRR7122203	SRX4043752	GSE114063	GSE114063.12	Paired	GSE114063.12.control.R1
A549	Control	-	-	12	1	R2	SRR7122203	SRX4043752	GSE114063	GSE114063.12	Paired	GSE114063.12.control.R2
